Month,Rural,Urban
January,7.842692307692308,11.98074074074074
February,8.752307692307692,11.132222222222222
March,9.683333333333334,11.5725
April,21.746,25.46423076923077
May,14.00078431372549,19.14462962962963
June,9.97764705882353,11.10754716981132
July,7.741923076923077,10.233571428571429
August,8.503076923076923,10.73074074074074
September,7.0368,10.917407407407406
October,9.05111111111111,10.720357142857143
November,8.432222222222222,11.253214285714284
December,8.233600000000001,10.625714285714285
