Region,Pre_COVID,COVID_Period,Change_pp,Percentage_Change
Andhra Pradesh,5.04,13.58,8.54,169.5
Assam,6.37,6.58,0.21,3.23
Bihar,13.83,31.63,17.8,128.67
Chandigarh,16.32,14.32,-2.0,-12.25
Chhattisgarh,7.71,13.08,5.37,69.66
Delhi,14.23,22.16,7.93,55.7
Goa,8.51,13.11,4.6,54.07
Gujarat,5.18,10.38,5.21,100.61
Haryana,22.94,34.65,11.72,51.09
Himachal Pradesh,19.13,17.07,-2.06,-10.77
Jammu & Kashmir,17.22,12.89,-4.33,-25.16
Jharkhand,14.28,36.35,22.07,154.55
Karnataka,3.23,15.28,12.05,372.41
Kerala,6.99,17.95,10.96,156.74
Madhya Pradesh,4.74,14.07,9.33,196.77
Maharashtra,5.37,13.03,7.66,142.57
Meghalaya,4.0,7.07,3.07,76.69
Odisha,3.41,11.28,7.87,230.97
Puducherry,1.59,38.96,37.36,2345.39
Punjab,10.99,14.62,3.63,33.0
Rajasthan,12.76,17.31,4.55,35.7
Sikkim,6.26,9.07,2.81,44.92
Tamil Nadu,2.84,25.4,22.57,795.6
Telangana,4.66,15.44,10.79,231.67
Tripura,29.01,26.7,-2.31,-7.95
Uttar Pradesh,10.62,17.38,6.76,63.69
Uttarakhand,5.8,8.82,3.01,51.96
West Bengal,6.57,12.01,5.44,82.82
