Region,Average_Unemployment,Median_Unemployment,Minimum_Unemployment,Maximum_Unemployment,Average_Employment,Average_Labour_Participation
Andhra Pradesh,7.48,5.4,0.85,32.3,8154093.18,39.38
Assam,6.43,5.44,0.0,11.17,5354772.15,44.87
Bihar,18.92,15.01,8.87,58.77,12366189.14,38.15
Chandigarh,15.99,17.51,7.22,22.05,316831.25,39.34
Chhattisgarh,9.24,8.26,0.0,27.07,4303498.57,42.81
Delhi,16.5,15.02,9.33,45.78,2627512.86,38.93
Goa,9.27,6.33,0.0,25.2,226308.33,39.25
Gujarat,6.66,5.42,1.41,25.94,11402012.79,46.1
Haryana,26.28,25.06,14.54,46.89,3557072.46,42.74
Himachal Pradesh,18.54,18.35,1.12,50.0,1059823.71,44.22
Jammu & Kashmir,16.19,16.0,2.22,24.06,1799931.67,41.03
Jharkhand,20.58,17.28,5.01,70.17,4469240.43,41.67
Karnataka,6.68,3.72,0.37,33.17,10667119.29,41.35
Kerala,10.12,7.64,4.11,30.28,4425899.5,34.87
Madhya Pradesh,7.41,4.95,1.19,40.49,11115484.32,38.82
Maharashtra,7.56,6.34,3.03,25.28,19990195.86,42.3
Meghalaya,4.8,3.73,0.24,17.39,689736.81,57.08
Odisha,5.66,3.87,1.78,24.48,6545746.96,38.93
Puducherry,10.22,1.23,0.0,76.74,212278.08,38.99
Punjab,12.03,11.08,1.13,40.59,4539362.0,41.14
Rajasthan,14.06,13.66,4.03,35.53,10041064.75,39.97
Sikkim,7.25,5.77,0.0,20.45,106880.71,46.07
Tamil Nadu,9.28,2.78,0.89,53.19,12269546.75,40.87
Telangana,7.74,5.78,1.35,36.57,7939662.75,53.0
Tripura,28.35,27.31,14.71,43.64,717002.64,61.82
Uttar Pradesh,12.55,11.54,6.06,32.06,28094832.18,39.43
Uttarakhand,6.58,5.56,1.63,17.36,1390228.11,33.78
West Bengal,8.12,7.13,3.78,18.43,17198538.0,45.42
